              Procedure           Image            Address        Calls Instructions
                  _fini libpthread.so.0       7f601fa1f174            1            3
           elision_init libpthread.so.0       7f601fa1edd0            1           36
       __libc_sigaction libpthread.so.0       7f601fa1d8a0            2          102
_pthread_cleanup_pop_restore libpthread.so.0       7f601fa1bce0            6           54
_pthread_cleanup_push_defer libpthread.so.0       7f601fa1bc80            6           72
__pthread_rwlock_unlock libpthread.so.0       7f601fa18180            3          126
__pthread_rwlock_wrlock libpthread.so.0       7f601fa177f0            3          155
 __pthread_mutex_unlock libpthread.so.0       7f601fa167a0            2           56
     pthread_mutex_lock libpthread.so.0       7f601fa14fa0            2           70
__pthread_initialize_minimal libpthread.so.0       7f601fa10e80            1          156
            frame_dummy libpthread.so.0       7f601fa10c80            1            4
  __do_global_dtors_aux libpthread.so.0       7f601fa10c40            1           12
     register_tm_clones libpthread.so.0       7f601fa10bf0            1           13
   deregister_tm_clones libpthread.so.0       7f601fa10bb0            1            8
               .plt.got libpthread.so.0       7f601fa10ba0            1            1
_dl_get_tls_static_info@plt libpthread.so.0       7f601fa10b00            1            3
  __tunable_get_val@plt libpthread.so.0       7f601fa10ae0            5            7
__libc_pthread_init@plt libpthread.so.0       7f601fa10a00            1            3
        __getrlimit@plt libpthread.so.0       7f601fa106d0            1            3
                   .plt libpthread.so.0       7f601fa10690            4            8
                  _init libpthread.so.0       7f601fa10678            1            4
                  .fini      libdl.so.2       7f601fc2bbe0            1            3
                dlmopen      libdl.so.2       7f601fc2bb30            0            3
                  .text      libdl.so.2       7f601fc2ae50            1           39
               .plt.got      libdl.so.2       7f601fc2ae20            0            1
                  _init      libdl.so.2       7f601fc2ad20            1            6
                  _fini    libpcre.so.3       7f601fe804d0            1            3
                  .text    libpcre.so.3       7f601fe2f520            0           37
               .plt.got    libpcre.so.3       7f601fe2f510            1            1
                  _init    libpcre.so.3       7f601fe2f3b8            1            6
        _dl_catch_error       libc.so.6       7f6020207340            0           74
               _dl_addr       libc.so.6       7f6020205fb0            1        59300
      __register_atfork       libc.so.6       7f60201d0820            1           51
    __libc_pthread_init       libc.so.6       7f60201d07c0            1          386
                 __mmap       libc.so.6       7f60201bb9d0            1           35
            getpagesize       libc.so.6       7f60201b6da0           13           65
                  ioctl       libc.so.6       7f60201b65d0            1            5
                 __sbrk       libc.so.6       7f60201b6520            2           48
                    brk       libc.so.6       7f60201b64b0            2           24
            __getrlimit       libc.so.6       7f60201b5f90            1            9
              tcgetattr       libc.so.6       7f60201b5c80            1           38
                 isatty       libc.so.6       7f60201b1be0            1           14
       __close_nocancel       libc.so.6       7f60201b0940            5           25
                 access       libc.so.6       7f60201b0240            1            9
                __write       libc.so.6       7f60201b0140            2           18
                 __read       libc.so.6       7f60201b0070            2           18
        __open_nocancel       libc.so.6       7f60201afd70            2           48
               __open64       libc.so.6       7f60201afc40            1           28
               statfs64       libc.so.6       7f60201af970            2           18
             __fxstat64       libc.so.6       7f60201af7b0            4           40
            getopt_long       libc.so.6       7f60201a3d10            1            6
                sysconf       libc.so.6       7f60201869f0           13          494
                  _Exit       libc.so.6       7f6020184dd0            1            8
                readdir       libc.so.6       7f602017fbe0           19          771
               closedir       libc.so.6       7f602017fbb0            1            8
                opendir       libc.so.6       7f602017f920            1           53
              strcoll_l       libc.so.6       7f6020141920           48        13488
                 memmem       libc.so.6       7f6020140400           12          384
               __strdup       libc.so.6       7f602013d9a0           14          238
                strcoll       libc.so.6       7f602013d830           48          144
     __default_morecore       libc.so.6       7f602013b190            2           14
                realloc       libc.so.6       7f6020138c30            1           20
                  cfree       libc.so.6       7f6020137950           48         1729
          __libc_malloc       libc.so.6       7f6020137070           60         2949
