0x7f948e08dec7: 12(0x0, 0x50, 0x4d, 0x0, 0x16, 0x7f948e093665)returns: 0x55ad827ec000
0x7f948e0817dc: 21(0x7f948e093082, 0x0, 0x17, 0x3c, 0xfffffffffffffffc, 0x7ffe8415f120)returns: 0xffffffffffffffff
0x7f948e08ee25: 21(0x7f948e095dd0, 0x4, 0x7f948e072190, 0x8, 0x7f948e29bc52, 0x1)returns: 0xffffffffffffffff
0x7f948e08ecdb: 257(0xffffff9c, 0x7f948e093428, 0x80000, 0x0, 0x0, 0x0)returns: 0x3
0x7f948e08ec41: 5(0x3, 0x7ffe84121100, 0x7ffe84121100, 0x0, 0x0, 0x0)returns: 0x0
0x7f948e08ef41: 9(0x0, 0x14cc9, 0x1, 0x2, 0x3, 0x0)returns: 0x7f947aaa3000
0x7f948e08eed5: 3(0x3, 0x14cc9, 0x1, 0x2, 0x3, 0x0)returns: 0x0
0x7f948e08a137: 21(0x7f948e093082, 0x0, 0x0, 0x7f948e090390, 0x1, 0x1)returns: 0xffffffffffffffff
0x7f948e08ecdb: 257(0xffffff9c, 0x7f948e29bdd0, 0x80000, 0x0, 0x0, 0x7ffe841212af)returns: 0x3
0x7f948e08eda2: 0(0x3, 0x7ffe841212c8, 0x340, 0x0, 0x0, 0x7ffe841212af)returns: 0x340
0x7f948e08ec41: 5(0x3, 0x7ffe84121160, 0x7ffe84121160, 0x7f948e29bdd0, 0x7f948e29bdd0, 0x7f948e29b170)returns: 0x0
0x7f948e08ef41: 9(0x0, 0x2000, 0x3, 0x22, 0xffffffff, 0x0)returns: 0x7f947aa54000
0x7f948e08ef41: 9(0x0, 0x2278d0, 0x5, 0x802, 0x3, 0x0)returns: 0x7f947a80a000
0x7f948e08eff5: 10(0x7f947a82f000, 0x1ff000, 0x0, 0x1, 0x3, 0x0)returns: 0x0
0x7f948e08ef41: 9(0x7f947aa2e000, 0x2000, 0x3, 0x812, 0x3, 0x24000)returns: 0x7f947aa2e000
